"Animal","Height..cm.","Weight..kg.","Color","Lifespan..years.","Diet","Habitat","Predators","Average.Speed..km.h.","Countries.Found","Conservation.Status","Family","Gestation.Period..days.","Top.Speed..km.h.","Social.Structure","Offspring.per.Birth"
"Bengal Tiger",100,240,"Orange, Black",12.5,"Carnivore","Grasslands, Mangroves","Humans, Crocodiles",65,"India, Bangladesh, Nepal","Endangered","Felidae",105,65,"Solitary",3
"Black Rhinoceros",156,1100,"Gray, Black",42.5,"Herbivore","Grasslands, Forests","Lions, Hyenas",56,"Eastern and Southern Africa","Critically Endangered","Rhinocerotidae",465,56,"Solitary",1
"Blobfish",30,10,"Pinkish-gray",100,"Carnivore","Deep-sea",NA,NA,"Australia, New Zealand, Tasmania","Vulnerable","Psychrolutidae",NA,NA,"Solitary",NA
"Blobfish",NA,NA,"Pinkish-gray",130,"Carnivore","Deep-sea",NA,NA,"Deep-sea regions","Vulnerable","Psychrolutidae",NA,NA,"Solitary",NA
"Blue Jay",26,0.095,"Blue, White",10.5,"Omnivore","Forests, Urban Areas","Birds of Prey, Snakes",32,"North America","Least Concern","Corvidae",17.5,32,"Flocks",4
"Blue Morpho Butterfly",15,0.028,"Blue",0.02,"Herbivore","Rainforests","Birds, Bats",NA,"Central and South America","Not Evaluated","Nymphalidae",NA,NA,"Solitary",NA
"Blue Whale",3350,200,"Blue-grey",80,"Filter Feeder","Oceans","Orcas",40,"Oceans worldwide","Endangered","Balaenopteridae",330,39,"Solitary",1
"Blue-Footed Booby",83,2.25,"Blue, White",14.5,"Piscivore","Coastal Areas","Orcas, Sharks",30,"Eastern Pacific (GalÃ¡pagos Islands)","Least Concern","Sulidae",43,30,"Group-based",1
"Blue-Ringed Octopus",20,0.3,"Blue, Brown",0.6,"Carnivore","Coral Reefs, Tide Pools","Larger Fish",NA,"Indo-Pacific region","Near Threatened","Octopodidae",60,NA,"Solitary",100
"Bonobo",150,35,"Black",50,"Omnivore","Rainforests","Leopards, Humans",50,"Democratic Republic of Congo","Endangered","Hominidae",225,50,"Social groups",1
"Bornean Orangutan",123,56,"Reddish-brown",40,"Omnivore","Rainforests","Tigers, Humans",52,"Borneo","Critically Endangered","Hominidae",250,52,"Solitary",1
"Bottlenose Dolphin",300,400,"Grey",35,"Carnivore","Oceans","Sharks, Orcas",37,"Oceans worldwide","Least Concern","Delphinidae",360,64,"Social pods",1
"Boxer Dog",58,28.5,"Fawn, Brindle",11,"Omnivore","Human Dwellings",NA,64,"Worldwide",NA,"Canidae",63,64,"Social groups",5.5
"Brazilian Wandering Spider",5,0.006,"Brown",1.5,"Carnivore","Forests","Birds, Mammals",NA,"South and Central America","Not Evaluated","Ctenidae",28,NA,"Solitary",1000
"Brown Bear",95,425,"Brown",25,"Omnivore","Forests, Mountains","Wolves, Tigers",48,"North America, Europe, Asia","Least Concern","Ursidae",215,48,"Solitary",2.5
"Burmese Python",460,90,"Brown, Black",22.5,"Carnivore","Grasslands, Forests","Leopards, Hawksbills",2,"Southeast Asia, South Asia, Indonesia","Least Concern","Pythonidae",94,2,"Solitary",55
"Capybara",56,50.5,"Brown",9,"Herbivore","Grasslands, Swamps","Jaguars, Anacondas",32.5,"South America","Least Concern","Caviidae",150,35,"Group-based",5
"Cheetah",80,46,"Tan with Black Spots",11,"Carnivore","Grasslands, Savannas","Lions, Hyenas",112,"Africa, Iran, India","Vulnerable","Felidae",94,112,"Solitary",4
"Chimpanzee",160,48,"Black",45,"Omnivore","Rainforests, Grasslands","Leopards, Humans",40,"Central and West Africa","Endangered","Hominidae",235,40,"Social groups",1
"Chinese Giant Salamander",180,65,"Dark Brown",70,"Carnivore","Freshwater","Fish, Crustaceans",NA,"China","Critically Endangered","Cryptobranchidae",55,NA,"Solitary",NA
"Clownfish",8.5,175,"Orange",8,"Omnivore","Coral Reefs","Larger Fish, Anemones",8,"Indian, Pacific Oceans","Not Evaluated","Pomacentridae",8,1.6,"Group-based",1000
"Coelacanth",200,90,"Brown, Grey",60,"Carnivore","Deep-sea, Caves","Sharks, Humans",1.6,"Western Indian Ocean","Not Evaluated","Latimeriidae",1.2045e+14,NA,"Solitary",NA
"Common Dolphin",225,117.5,"Gray, Yellow",22.5,"Carnivore","Oceans, Coastal Areas","Sharks, Orcas",60,"Worldwide","Least Concern","Delphinidae",370,60,"Group-based",1
"Common Snapping Turtle",28,10.25,"Brown, Gray",40,"Omnivore","Freshwater","Birds, Raccoons",NA,"North America","Least Concern","Chelydridae",60,NA,"Solitary",25
"Coquerel's Sifaka",45,4.5,"White, Black",16.5,"Herbivore","Rainforests, Madagascar","Fossa, Hawks",37.5,"Madagascar","Endangered","Indriidae",150,30,"Group-based",1
"Dalmatian Dog",55.5,27.5,"White, Black",11.5,"Omnivore","Worldwide","Wolves, Birds of Prey",42.5,"Worldwide",NA,"Canidae",63,37,"Pack-based",7.5
"Dhole",52.5,16.5,"Red, Brown",12.5,"Carnivore","Forests, Grasslands","Tigers, Leopards",56,"Asia","Endangered","Canidae",61.5,56,"Pack-based",6
"Dingo",53,16.5,"Tan, Brown",12.5,"Carnivore","Grasslands, Forests","Humans, Dingoes",56,"Australia","Least Concern","Canidae",63,56,"Group-based",5.5
"Dugong",300,420,"Gray",75,"Herbivore","Coastal Waters, Seagrass","Sharks, Orcas",12.5,"Indian Ocean, Western Pacific","Vulnerable","Dugongidae",405,27,"Solitary",1
"Eastern Gorilla",164,138.5,"Black",45,"Herbivore","Rainforests","Leopards, Humans",40,"Democratic Republic of Congo","Endangered","Hominidae",262.5,40,"Social groups",1
"Echidna",37.5,4.5,"Brown, Tan",17.5,"Insectivore","Forests, Grasslands","Dingoes, Eagles",36,"Australia, New Guinea","Least Concern","Tachyglossidae",25,36,"Solitary",1
"Electric Eel",270,20,"Grayish-brown",12.5,"Carnivore","Amazon Basin","Crocodiles, Jaguars",NA,"Amazon Basin","Least Concern","Gymnotidae",70,4.8,"Solitary",5000
"Emperor Penguin",100,33.5,"Black, White",17.5,"Carnivore","Antarctic","Leopard Seals",2.25,"Antarctica","Near Threatened","Spheniscidae",64,9,"Colony-based",1
"Emperor Tamarin",24.5,350,"Black, White",12.5,"Omnivore","Rainforests","Snakes, Hawks",32,"Amazon Rainforest","Least Concern","Callitrichidae",142.5,32,"Group-based",1.5
"European Hedgehog",22,0.9,"Brown, Spiny",3.5,"Omnivore","Gardens, Grasslands","Foxes, Badgers",5,"Europe, Asia","Least Concern","Erinaceidae",35,5,"Solitary",5
"Fennec Fox",30,1.2,"Cream",12,"Omnivore","Sahara Desert","Eagles, Jackals",32,"North Africa","Least Concern","Canidae",51,32,"Solitary",3.5
"Fire Salamander",20,55,"Black, Yellow",12.5,"Carnivore","Forests, Caves","Birds, Foxes",0.8,"Europe","Near Threatened","Salamandridae",45,0.8,"Solitary",35
"Flying Fox",40,1.1,"Brown, Gray",19,"Herbivore","Forests","Birds of Prey",45,"Asia, Australia","Least Concern","Pteropodidae",145,45,"Group-based",1
"Fossa",80,6.5,"Brown, Reddish-brown",17.5,"Carnivore","Rainforests, Madagascar","Humans, Larger Predators",46.5,"Madagascar","Vulnerable","Eupleridae",90,46.5,"Solitary",3
"Frilled Lizard",90,0.5,"Brown, Grey",12.5,"Insectivore, Herbivore","Northern Australia","Birds, Dingoes",29,"Northern Australia","Least Concern","Agamidae",46,29,"Solitary",15.5
"GalÃ¡pagos Penguin",51,2,"Black, White",15,"Carnivore","Coastal Areas","Orcas, Sharks",29.5,"GalÃ¡pagos Islands","Endangered","Spheniscidae",40,29.5,"Solitary",1
"Galápagos Penguin",50.5,2.15,"Black, White",17.5,"Carnivore, Piscivore","Galápagos Islands","Sharks, Birds",6.5,"Galápagos Islands","Endangered","Spheniscidae",39,35,"Colony-based",1
"Galápagos Tortoise",183,417,"Brown, Grey",125,"Herbivore","Galápagos Islands","Humans, Rats",0.4,"Galápagos Islands","Vulnerable","Testudinidae",135,0.3,"Solitary",16
"Galliformes",NA,NA,NA,NA,"Omnivore",NA,NA,NA,"Worldwide",NA,"Phasianidae",NA,NA,NA,NA
"Gaur",240,950,"Dark Brown, Black",22.5,"Herbivore","Grasslands, Forests","Tigers, Leopards",35,"Southeast Asia, South Asia","Vulnerable","Bovidae",277.5,35,"Herd-based",1
"Gerenuk",92.5,40,"Brown, White",9,"Herbivore","Savannas, Scrublands","Lions, Leopards",55,"Eastern Africa, Horn of Africa","Near Threatened","Bovidae",192.5,95,"Solitary",1
"Gharial",600,1500,"Brownish-gray",50,"Carnivore","Rivers, Lakes","Crocodiles, Tigers",32,"Indian subcontinent","Critically Endangered","Gavialidae",108.5,32,"Solitary",57.5
"Giant Pacific Octopus",5,25,"Red, Brown",4,"Carnivore","Ocean Floor","Fish, Sharks",24,"Pacific Ocean","Data Deficient","Enteroctopodidae",60,24,"Solitary",2e+05
"Giant Panda",80,97.5,"Black, White",25,"Herbivore","Temperate Broadleaf Forests","Snow Leopards",32,"China","Endangered","Ursidae",127.5,32,"Solitary",1
"Gila Monster",60,2.3,"Black, Orange",20,"Carnivore","Deserts, Scrubland","Birds of Prey, Coyotes",1.5,"Southwestern United States, Mexico","Least Concern","Helodermatidae",135,NA,"Solitary",NA
"Glass Frog",4.95,0.03,"Green, Transparent",0.035,"Insectivore","Rainforests","Birds, Snakes",0.8,"Central and South America","Least Concern","Centrolenidae",15,NA,"Solitary",30
"Goblin Shark",320,210,"Pinkish-gray",32.5,"Carnivore","Deep-sea","Larger Fish, Other Sharks",2.3,"Worldwide","Data Deficient","Mitsukurinidae",NA,NA,"Solitary",NA
"Goblin Shark",366,210,"Pinkish-gray",32.5,"Carnivore","Deep-sea",NA,NA,"Worldwide","Data Deficient","Mitsukurinidae",NA,NA,"Solitary",NA
"Golden Lion Tamarin",35,0.7,"Golden, Reddish-brown",12.5,"Omnivore","Tropical Rainforests","Birds, Snakes",10.5,"Brazil, Southeastern Bahia","Endangered","Callitrichidae",127.5,10.5,"Social groups",2
"Golden Poison Dart Frog",4.5,2.4,"Various",13.5,"Insectivore","Rainforests","Snakes",0.3,"Western Colombia","Near Threatened","Dendrobatidae",14,0.3,"Solitary",40
"Great White Shark",610,2268,"Grey",35,"Carnivore","Oceans","Orcas",56,"Oceans worldwide","Vulnerable","Lamnidae",450,56,"Solitary",8
"Great White Shark",670,2268,"Gray, White",70,"Carnivore","Oceans","Orcas",56,"Worldwide","Vulnerable","Lamnidae",15,56,"Solitary",9.5
"Green Anaconda",550,97.5,"Olive-green",12.5,"Carnivore","Swamps, Marshes","Jaguars, Caymans",NA,"South America","Least Concern","Boidae",155,24,"Solitary",80
"Green Sea Turtle",120,200,"Greenish-brown",90,"Herbivore","Oceans, Coastal Areas","Predatory Fish",2.4,"Oceans worldwide","Endangered","Cheloniidae",57.5,35,"Solitary",NA
"Green Sea Turtle",95,129,"Green",80,"Herbivore","Oceans","Sharks, Orcas",35,"Worldwide","Endangered","Cheloniidae",60,35,"Solitary",NA
"Grevy's Zebra",145,400,"White, Black",25,"Herbivore","Grasslands","Lions, Hyenas",64,"Eastern Africa","Endangered","Equidae",393,64,"Herd-based",1
"Hagfish",127,0.7,"Pink, Gray",300,"Scavenger","Ocean Floor, Deep-sea","Various Predators",0.8,"Oceans worldwide","Least Concern","Myxinidae",NA,NA,"Solitary",NA
"Hagfish",127,0.6,"Pinkish-gray",30,"Carnivore","Deep-sea",NA,NA,"Worldwide","Data Deficient","Myxinidae",NA,NA,"Solitary",NA
"Harp Seal",180,160,"Silver, Gray",27.5,"Carnivore","Arctic, Atlantic Ocean","Polar Bears, Orcas",20.5,"Arctic, Atlantic Ocean","Least Concern","Phocidae",335,28,"Group-based",1
"Harpy Eagle",96.5,6.75,"Black, White",30,"Carnivore","Rainforests","Jaguars, Snakes",50,"Central and South America","Near Threatened","Accipitridae",57,50,"Solitary",1
"Hippopotamus",140,2250,"Grey",45,"Herbivore","Rivers, Lakes","Lions, Crocodiles",25,"Sub-Saharan Africa","Vulnerable","Hippopotamidae",240,30,"Group-based",1
"Horseshoe Crab",56,2.3,"Brownish-gray",20,"Carnivore, Scavenger","Ocean Floor, Coastal Areas","Birds, Predatory Fish",1.2,"Atlantic Ocean, Gulf of Mexico","Vulnerable","Limulidae",14,NA,"Solitary",5000
"Hummingbird",10.25,11,"Various",4,"Nectar, Insects","Americas","Birds of Prey, Snakes",60,"Americas","Least Concern","Trochilidae",17.5,80,"Solitary",2
"Humpback Whale",1700,30000,"Black, White",47.5,"Omnivore","Oceans","Orcas",25.5,"Worldwide","Least Concern","Balaenopteridae",365,25.5,"Solitary",1
"Iberian Lynx",65,11.5,"Yellowish-brown",11.5,"Carnivore","Mediterranean Scrublands","Humans, Wildcats",75,"Spain, Portugal","Endangered","Felidae",65,75,"Solitary",2.5
"Indri",70,6,"Black, White",16.5,"Herbivore","Rainforests","Fossa, Birds of Prey",25.5,"Madagascar","Critically Endangered","Indridae",130,25.5,"Solitary",1
"Japanese Giant Hornet",45,6,"Yellow, Black",4.5,"Carnivore, Insectivore","Forests, Mountains","Birds, Bees",49,"Japan, China, Southeast Asia","Not Evaluated","Vespidae",7,NA,"Colony-based",5000
"Japanese Macaque",55,12,"Brown",25,"Omnivore","Forests, Mountains","Humans, Leopards",30,"Japan, China, North Korea","Least Concern","Cercopithecidae",183.5,30,"Social groups",1
"Kakapo",60,4,"Green",NA,"Herbivore","Forests, Islands","Rats, Cats",2.5,"New Zealand","Critically Endangered","Strigopidae",22.5,2.4,"Solitary",2.5
"Kangaroo Rat",11,0.0925,"Brown, Gray",3.5,"Herbivore","Deserts","Snakes, Birds of Prey",16,"North America","Least Concern","Heteromyidae",23,16,"Solitary",3.5
"King Cobra",550,9,"Olive-green",25,"Carnivore","Grasslands, Forests","Birds, Snakes",20,"Southeast Asia, South Asia","Vulnerable","Elapidae",101.5,20,"Solitary",30
"Kiwi",35.5,2.15,"Brown",37.5,"Omnivore","Forests","Stoats, Cats",8,"New Zealand","Vulnerable","Apterygidae",77.5,9,"Solitary",1
"Komodo Dragon",300,90,"Grey",25,"Carnivore","Islands, Grasslands","Humans, Larger Predators",20,"Indonesia","Vulnerable","Varanidae",225,20,"Solitary",22.5
"Leaf-tailed Gecko",25,250,"Various",12.5,"Insectivore","Rainforests, Madagascar","Birds, Snakes",0.9,"Madagascar","Not Evaluated","Gekkonidae",52.5,NA,"Solitary",1.5
"Leafy Sea Dragon",35,0.5,"Brown, Green",10,"Carnivore","Seaweed Beds","Fish, Octopuses",NA,"Southern Australia","Near Threatened","Syngnathidae",35,NA,"Solitary",300
"Lemur",40,2.05,"Various",20,"Omnivore","Rainforests, Madagascar","Fossa, Hawks",26.5,"Madagascar","Vulnerable","Lemuridae",136,29,"Group-based",1.5
"Lemur",47.5,2.55,NA,20,"Herbivore","Forests","Fossa",29,"Madagascar","Critically Endangered","Lemuridae",127.5,29,"Group-based",1
"Lion-tailed Macaque",52.5,6.25,"Black",25,"Omnivore, Herbivore","Western Ghats, India","Tigers, Leopards",35,"India","Endangered","Cercopithecidae",160,35,"Social groups",1
"Lyrebird",90,1.05,"Brown, Black",17.5,"Omnivore","Rainforests","Birds of Prey, Dingoes",0.025,"Australia","Least Concern","Menuridae",52.5,NA,"Solitary",1
"Lyrebird",88.5,0.975,"Brown, Grey",20,"Omnivore","Forests","Birds of Prey",NA,"Australia","Least Concern","Menuridae",52.5,NA,"Solitary",1
"Malayan Krait",150,2.2,"Black, Yellow",12.5,"Carnivore","Forests, Grasslands","Mongooses, Birds",NA,"Southeast Asia","Least Concern","Elapidae",225,NA,"Solitary",12
"Manatee",350,495,"Gray, Brown",50,"Herbivore","Rivers, Coastal Areas","Alligators, Sharks",8,"North, Central, and South America","Vulnerable","Trichechidae",407.5,8,"Solitary",1
"Mandrill",75,55,"Brown, Green",30,"Omnivore","Rainforests","Leopards, Humans",30,"Central Africa","Vulnerable","Cercopithecidae",182.5,30,"Social groups",1
"Maned Wolf",87,22.5,"Reddish-Brown",7,"Omnivore","Grasslands, Forests","Jaguars, Pumas",56,"South America","Near Threatened","Canidae",67.5,56,"Solitary",4
"Mantis Shrimp",30,2.7,"Various",20,"Carnivore","Coral Reefs","Larger Fish",40,"Oceans worldwide","Not Evaluated","Stomatopoda",25,40,"Solitary",500
"Markhor",115,110,"Brown, Gray",11.5,"Herbivore","Mountains","Wolves, Snow Leopards",52,"Central Asia, South Asia, Middle East","Near Threatened","Bovidae",152.5,52,"Solitary",1.5
"Meerkat",30,0.8,"Brown, Tan",13,"Omnivore, Insectivore","Arid regions","Eagles, Jackals",32,"Kalahari Desert, Africa","Least Concern","Herpestidae",71.5,32,"Social groups",3.5
"Monitor Lizard",244,166,NA,NA,"Carnivore","Various","Birds, Snakes",NA,"Africa, Asia, Australia, Oceania",NA,"Varanidae",NA,NA,"Solitary",NA
"Mountain Gorilla",160,135,"Black, Brown",37.5,"Herbivore","Rainforests, Mountains","Leopards, Humans",40,"Democratic Republic of Congo, Uganda","Endangered","Hominidae",262.5,40,"Group-based",1
"Naked Mole Rat",9,80,"Pink, Wrinkled",32,"Herbivore, Insectivore","Underground Tunnels","Snakes, Humans",0.055,"East Africa","Least Concern","Heterocephalidae",70,NA,"Eusocial",28
"Narwhal",500,1600,"Gray, Mottled White",55,"Carnivore","Arctic Waters","Polar Bears, Orcas",45,"Arctic","Near Threatened","Monodontidae",450,45,"Solitary",1
"Nudibranch",30,1,"Various",10,"Carnivore","Oceans, Coral Reefs","Sea Anemones, Predatory Fish",NA,"Oceans worldwide","Not Evaluated","Nudibranchia",NA,NA,"Solitary",NA
"Numbat",40,0.66,"Red, White",5,"Insectivore","Eucalyptus Forests","Foxes, Cats",8,"Western Australia","Endangered","Myrmecobiidae",14,8,"Solitary",5
"Okapi",225,275,"Brown, White",25,"Herbivore","Central Africa","Leopards, Lions",56,"Democratic Republic of Congo","Endangered","Giraffidae",445,58,"Solitary",1
"Okapi",225,275,"Dark Brown, White",25,"Herbivore","Rainforests","Leopards, Humans",58,"Democratic Republic of Congo","Endangered","Giraffidae",435,58,"Solitary",1
"Orangutan",160,56,"Reddish-brown",37.5,"Omnivore","Rainforests","Tigers, Humans",9,"Indonesia, Malaysia","Critically Endangered","Hominidae",240,40,"Solitary",1
"Pangolin",65,21,"Brown, Yellowish",15,"Insectivore","Grasslands, Forests","Lions, Tigers",32,"Asia, Africa","Critically Endangered","Manidae",250,32,"Solitary",1
"Patagonian Mara",60,10.75,"Brown, Gray",7.5,"Herbivore","Grasslands","Foxes, Birds of Prey",30,"Argentina, Chile","Least Concern","Caviidae",77.5,30,"Group-based",2
"Peacock Mantis Shrimp",18,0.4,"Various",20,"Carnivore","Coral Reefs","Fish, Crustaceans",72,"Indo-Pacific region","Not Evaluated","Gonodactylidae",52.5,72,"Solitary",10000
"Pink Fairy Armadillo",12,120,"Pink",6,"Insectivore","Grasslands","Foxes, Birds of Prey",NA,"Argentina","Near Threatened","Chlamyphoridae",62,NA,"Solitary",1
"Pink Fairy Armadillo",13.5,0.1,"Pinkish",4,"Insectivore","Grasslands","Birds, Canids",0.8,"Argentina","Near Threatened","Dasypodidae",62,0.8,"Solitary",1
"Platypus",12.5,1.55,"Brown",13.5,"Carnivore, Insectivore","Eastern Australia","Foxes, Birds of Prey",5,"Australia","Near Threatened","Ornithorhynchidae",10,9,"Solitary",2
"Polar Bear",160,700,"White",27.5,"Carnivore","Arctic","Orcas",40,"Arctic","Vulnerable","Ursidae",230,40,"Solitary",1.5
"Potoo",39.5,0.6,"Gray, Brown",12.5,"Carnivore, Insectivore","Forests, Woodlands","Birds of Prey",20,"Central and South America","Least Concern","Nyctibiidae",25,20,"Solitary",1
"Praying Mantis",15,0.26,"Various",9,"Carnivore","Worldwide","Birds, Spiders",0.6,"Worldwide","Not Evaluated","Mantidae",35,NA,"Solitary",400
"Proboscis Monkey",60,19,"Orange, Brown",15,"Herbivore","Mangroves, Rainforests","Clouded Leopards",28,"Borneo, Malaysia","Endangered","Cercopithecidae",183,28,"Social groups",1
"Pronghorn",92.5,55,"Brown, White",12.5,"Herbivore","Grasslands","Coyotes, Bobcats",88.5,"North America","Least Concern","Antilocapridae",240,88.5,"Group-based",1
"Pufferfish",60,0.8,"Various",6.5,"Carnivore","Tropical and Subtropical","Sharks, Humans",8,"Oceans worldwide","Not Evaluated","Tetraodontidae",NA,8,"Solitary",NA
"Quokka",47,3.75,"Brown, Gray",7.5,"Herbivore","Scrublands, Forests","Foxes, Cats",24,"Australia","Vulnerable","Macropodidae",27.5,24,"Solitary",1
"Red Fox",42.5,5,"Reddish-brown",4,"Omnivore","Forests, Grasslands","Wolves, Eagles",48,"North America, Europe, Asia","Least Concern","Canidae",52,48,"Solitary",5
"Red Kangaroo",160,56.5,"Brown, Red",23,"Herbivore","Grasslands","Dingoes, Eagles",56,"Australia","Least Concern","Macropodidae",32,56,"Group-based",1
"Red Panda",57.5,4.5,"Reddish-brown",10,"Herbivore","Himalayan Foothills","Snow Leopards, Martens",0.3,"China, Nepal, Bhutan, India","Endangered","Ailuridae",135,0.3,"Solitary",2.5
"Red-Eyed Tree Frog",6.3,0.1,"Green, Red",5,"Insectivore","Rainforests","Snakes, Birds",NA,"Central America","Least Concern","Hylidae",6,NA,"Solitary",100
"Rottweiler",62.5,48,"Black, Tan",9,"Carnivore","Worldwide","Wolves, Coyotes",35,"Worldwide",NA,"Canidae",63,32,"Pack-based",9
"Saola",90,100,"Brown, White",21,"Herbivore","Forests","Tigers, Leopards",26,"Vietnam, Laos","Critically Endangered","Bovidae",240,26,"Solitary",1
"Secretary Bird",125,3.4,"Black, Grey",12.5,"Carnivore","Grasslands, Savannas","Snakes, Lizards",24,"Africa","Least Concern","Sagittariidae",44,32,"Solitary",2
"Serval",58,13,"Yellowish-Tan, Black",11,"Carnivore","Grasslands, Wetlands","Leopards, Hyenas",44,"Africa","Least Concern","Felidae",63,44,"Solitary",1
"Shoebill",125,5,"Grayish-brown",32.5,"Carnivore","Swamps, Marshes","Crocodiles, Snakes",15,"Tropical Central Tropical Africa","Vulnerable","Balaenicipitidae",32.5,15,"Solitary",2
"Shortfin Mako Shark",394,800,"Metallic Blue",31.5,"Carnivore","Oceans","Larger Sharks",45,"Worldwide","Vulnerable","Lamnidae",22,45,"Solitary",1
"Siberian Husky",55,21.5,"Various",13,"Carnivore","Cold Regions","Wolves, Bears",57.5,"Siberia, Alaska",NA,"Canidae",61.5,48,"Pack-based",5
"Sloth",55,6.3,"Brown, Gray",13,"Herbivore","Rainforests","Jaguars, Harpy Eagles",0.135,"Central and South America","Least Concern","Bradypodidae",150,0.135,"Solitary",1
"Slow Loris",29,0.95,"Yellowish-Brown",22,"Omnivore","Forests","Birds, Snakes",NA,"Southeast Asia","Vulnerable","Lorisidae",24.5,NA,"Solitary",10
"Snow Leopard",60,48.5,"Grayish-yellow, Black",12.5,"Carnivore","Mountains, Steppes","Humans, Wolves",50,"Central and South Asia","Vulnerable","Felidae",95,50,"Solitary",3
